Repositório,Estrelas,Data do Último Commit,AXE em Workflow,Pa11y em Workflow,Wave em Workflow,Asqata-sun em Workflow,HTML_CodeSniffer em Workflow,Equal Access em Workflow,AXE em Dependência,Pa11y em Dependência,Wave em Dependência,Asqata-sun em Dependência,HTML_CodeSniffer em Dependência,Equal Access em Dependência
cannandev/plain-ole-jekyll-blog,1,09/02/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
hmcts/pip-frontend,1,05/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
ROXBOZ/pvssy-talk-app-router,1,26/08/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
gov-cy/govcy-frontend-tester,1,14/04/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
UKHomeOffice/refugee-integration-loan,1,21/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
ubilabs/a11y,1,20/08/2025,Sim,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
hmcts/idam-user-dashboard,1,27/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
SECiD-UNAM/secid-website,1,01/08/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
hmcts/fact-frontend,1,04/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
markhazleton/markhazleton-blog,1,31/08/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
sendahug/send-hug-frontend,1,07/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
hmcts/pre-portal,1,04/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
brootaylor/bostontparty-v2,1,04/01/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
webQbe/js_accessibility_tester,0,29/11/2024,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
t12t/t12t.github.io,0,11/06/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
Hanan-Fadel/chadcn-app,0,25/07/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao,Nao
JohnDHoinville/vpat-report,0,23/07/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Nao,Sim
sorani-dev/website-accessibility-tester,0,01/10/2024,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
robertsmelanie/TestAda,0,02/05/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
brown-ccv/ccv-website,0,04/09/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
Watso196/a11y-runner,0,12/05/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
GabeStah/wcasg-audit,0,28/07/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
egroesel/a11y-checker,0,30/04/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
RRocaP/Portfolio,0,07/09/2025,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
ragsntatters/pa11y-frontend,0,23/06/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
csnizik/ars-apps,0,01/07/2025,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
pctrainor/ISYS-54203-Group-1,0,05/12/2024,Nao,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao
18f-copy/analytics.usa.gov,0,11/02/2025,Sim,Sim,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
18farchive/analytics.usa.gov,0,01/03/2025,Sim,Sim,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
joejohnsonbright/file-browser,0,23/07/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
PonchoRgz/ponchorgz,0,02/07/2025,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Nao
kainenw/portfolio_v2,0,15/08/2025,Sim,Sim,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Nao,Nao,Nao
